uid  , premise                                                                                                                                                                                                                                                                                                                                                                                                                     , hypothesis                                                                                                                                                                                                                                                                                                                                                             , label, reason
 5385, "Baghdad (Arabic: بغداد‎ ‎ , ) is the capital of Iraq. The population of Baghdad, as of 2016 , is approximately 8,765,000, making it the largest city in Iraq, the second largest city in the Arab world (after Cairo, Egypt), and the second largest city in Western Asia (after Tehran, Iran)."                                                                                                                             , Cairo has a larger population than Tehran.                                                                                                                                                                                                                                                                                                                             ,     1, 
 5386, "Lansing is a city situated along the Missouri River in the eastern part of Leavenworth County, located in northeast Kansas, in the Central United States. As of the 2010 census, the city population was 11,265. It is the second most populous city of Leavenworth County and is a part of the Kansas City metropolitan area."                                                                                            , "Lansing, Kansas stretches across most of Leavenworth County."                                                                                                                                                                                                                                                                                                         ,     1, 
 5387, "MindGamers is a 2015 Austrian science fiction film directed by Andrew Goth. The film was theatrically released on March 28, 2017 through Terra Mater Factual Studios. The film stars Tom Payne, Dominique Tipper, Sam Neill, Melia Kreiling, Antonia Campbell-Hughes, and Oliver Stark."                                                                                                                                   , MindGamers stars a flock of 300 chickens.                                                                                                                                                                                                                                                                                                                              ,     2, 
 5388, """The Aristocrats"" (also called ""The Debonaires"" or ""The Sophisticates"" in some tellings) is a taboo-defying off-color joke that has been told by numerous stand-up comedians since the vaudeville era. The joke was the subject of a 2005 documentary film of the same name. It received publicity when it was used by Gilbert Gottfried during the Friars' Club roast of Hugh Hefner in September 2001."            , The Aristocrats was written either before or during the vaudeville era.                                                                                                                                                                                                                                                                                                ,     0, 
 5389, "Thomas Schneider (born 24 November 1972) is a German professional football manager and former defender, who is currently assistant manager to Joachim Löw for the German national team. Schneider had previously been manager of German Bundesliga club VfB Stuttgart."                                                                                                                                                    , Thomas Schneider was a professional soccer player.                                                                                                                                                                                                                                                                                                                     ,     2, 
 5390, "Yuen Long () is an MTR station located in the northeastern part of Yuen Long Town, Yuen Long District, between Kam Sheung Road and Long Ping stations on the West Rail Line. It is an interchange between the West Rail Line and the Light Rail Yuen Long Stop."                                                                                                                                                           , Yuen Long is an interchange.                                                                                                                                                                                                                                                                                                                                           ,     0, 
 5391, "Cairo is an unincorporated community in Malheur County, Oregon, United States. Its elevation is 2192 ft above sea level. It is about 4 mi southwest of Ontario and a half mile north of Cairo Junction, where U.S. Route 20 and U.S. Route 26, running concurrently with Oregon Route 201, turn south towards Nyssa. Route 201 also continues north from Cairo Junction through Cairo and towards Ontario."                , "Cairo is a community in Oregon, it is close to Ontario."                                                                                                                                                                                                                                                                                                              ,     0, 
 5392, "Rudolf Khametovich Nureyev (Bashkir: Рудольф Хәмит улы Нуриев , Tatar: Рудольф Хәмит улы Нуриев , Russian: Рудо́льф Хаме́тович Нуре́ев ; 17 March 1938 – 6 January 1993) was a Soviet ballet dancer and choreographer. He was director of the Paris Opera Ballet from 1983 to 1989 and its chief choreographer until October 1992."                                                                                           , The Paris Opera Ballet was really popular                                                                                                                                                                                                                                                                                                                              ,     1, 
 5393, "Blackburn with Darwen is a unitary authority area in Lancashire, North West England. It consists of Blackburn, the small town of Darwen to the south of it, and the surrounding countryside. The population of the Unitary Authority taken at the 2011 census was 147,489."                                                                                                                                                , Darwen and Blackburn are small towns in the northwest section of Texas.                                                                                                                                                                                                                                                                                                ,     2, 
 5394, "Merimbula Merimbula is a town on the Merimbula Lake, located on the Far South Coast or Sapphire Coast of New South Wales, Australia. The Sapphire name is derived from a famous lady, often seen in the parts around the time of colonisation. Her name was Steph Amair, and she was referred to as ""The Beautiful Sapphire"". At the 2016 census , the population was 3,544."                                            , Merimbula Merimbula is a town located in Australia.                                                                                                                                                                                                                                                                                                                    ,     0, 
 5395, "The 1984 North Dakota gubernatorial election took place on November 6, 1984 to elect the Governor and Lieutenant Governor of North Dakota. Voters selected Democratic candidate George A. Sinner and his running mate Ruth Meiers over Republican incumbent Governor Allen I. Olson and Lieutenant Governor Ernest Sands."                                                                                                 , Ruth Meiers ran as the Republican candidate for Lieutenant Governor in the 1984 gubernatorial election.                                                                                                                                                                                                                                                                ,     2, 
 5396, The 1948 SMU Mustangs football team represented the SMU Mustangs of Southern Methodist University during the 1948 college football season. Doak Walker was a junior when he won the Heisman Trophy. Doak established several other Southwest Conference records that still stand.                                                                                                                                           , Doak Walker won the Heisman Trophy when he was a senior.                                                                                                                                                                                                                                                                                                               ,     2, 
 5397, "The Invisible Woman (Susan ""Sue"" Storm-Richards), previously known as the Invisible Girl, is a fictional superheroine appearing in American comic books published by Marvel Comics. The character is a founding member of the Fantastic Four and was the first female superhero created by Marvel during the Silver Age of Comics."                                                                                      , The Invisible Woman always wore a silver dress.                                                                                                                                                                                                                                                                                                                        ,     1, 
 5398, "San Diego International Airport (IATA: SAN, ICAO: KSAN, FAA LID: SAN) , formerly known as Lindbergh Field, is an international airport 3 mi northwest of Downtown San Diego, California, United States. It is owned and operated by the San Diego County Regional Airport Authority."                                                                                                                                      , San Diego Airport will see its revenue grow by 10% in the next 5 years.                                                                                                                                                                                                                                                                                                ,     1, 
 5399, "Mark Ingram Jr. (born December 21, 1989) is an American football running back for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Alabama, won the Heisman Trophy, and was a member of a national championship team. The New Orleans Saints chose him in the first round of the 2011 NFL Draft."                                                            , Mark Ingram Jr. was a 1st round draft pick in 2011.                                                                                                                                                                                                                                                                                                                    ,     0, 
 5400, "Svengali is a live album by jazz composer, arranger, conductor and pianist Gil Evans, recorded in 1973 by Evans with an orchestra featuring Ted Dunbar, Howard Johnson, David Sanborn, Billy Harper, Richard Williams, Trevor Koehler, and Hannibal Marvin Peterson. The name of the album is an anagram for Gil Evans."                                                                                                   , "The name of the album is an anagram for Gil Evans.
                                                                                                                                                                                                                                                                                                                                                                                                                                     "                                                                                                                                                                                                                                                                                                                                                                      ,     0, 
 5401, "Westminster, Ellesmere Port is a suburb of the town of Ellesmere Port, Cheshire, England. It is located to the north of the town centre and it is the location of the M53 motorway. Westminster is famous for its terraced houses and the Joseph Groome Towers, three thirteen-storey tower blocks built as public housing . It is also known as the wezzy."                                                               , Joseph Groome Towers currently serve as public housing.                                                                                                                                                                                                                                                                                                                ,     1, 
 5402, "Inner Ear Studios is a recording studio founded in Arlington, Virginia by musician and recording engineer Don Zientara. Hundreds of albums, including both independent and major label releases, have been recorded at the studio. Notable artists who have recorded at Inner Ear Studios include Minor Threat, Fugazi, Mary Timony, and Foo Fighters."                                                                    , Inner Ear Studios was founded in 1979 by John Lennon.                                                                                                                                                                                                                                                                                                                  ,     1, 
 5403, "The Voice Kids is a British television talent show created by John de Mol and its first premiere was on 10 June 2017 on ITV. Presented by Emma Willis, the programme is a junior version of ""The Voice UK"" and is part of ""The Voice Kids""' worldwide franchise. The coaches are will.i.am, Danny Jones and Pixie Lott . Repeats also air on CITV and ITV2."                                                           , The Voice Kids first premiered in 2017 on June 17.                                                                                                                                                                                                                                                                                                                     ,     2, 
 5404, "Yuen Long () is an MTR station located in the northeastern part of Yuen Long Town, Yuen Long District, between Kam Sheung Road and Long Ping stations on the West Rail Line. It is an interchange between the West Rail Line and the Light Rail Yuen Long Stop."                                                                                                                                                           , Yuen Long is in the northeast part of that country                                                                                                                                                                                                                                                                                                                     ,     0, 
 5405, "The Weavers (German: Die Weber) is a 1927 German silent historical drama film directed by Frederic Zelnik and starring Paul Wegener, Valeska Stock and Hermann Picha. The film is based on the 1892 play ""of the same title"" by Gerhart Hauptmann based on a historical event. The film's art direction was by Andrej Andrejew."                                                                                         , Adrej Andrejew was over the age of 40 when he did the art direction for The Weavers.                                                                                                                                                                                                                                                                                   ,     1, 
 5406, "Cairo is an unincorporated community in Malheur County, Oregon, United States. Its elevation is 2192 ft above sea level. It is about 4 mi southwest of Ontario and a half mile north of Cairo Junction, where U.S. Route 20 and U.S. Route 26, running concurrently with Oregon Route 201, turn south towards Nyssa. Route 201 also continues north from Cairo Junction through Cairo and towards Ontario."                , Cairo's elevation is 2192 ft above sea level.                                                                                                                                                                                                                                                                                                                          ,     0, 
 5407, "Lisa Picard is Famous, also known as Famous, is a 2000 comedy-drama film directed by Griffin Dunne and written by Nat DeWolf & Laura Kirk. The film stars Kirk, DeWolf, Dunne, Daniel London, and a large number of famous actors in cameos as themselves."                                                                                                                                                                , Kirk and Dewolf have starred in other movies together.                                                                                                                                                                                                                                                                                                                 ,     1, 
 5408, "Lansing is a city situated along the Missouri River in the eastern part of Leavenworth County, located in northeast Kansas, in the Central United States. As of the 2010 census, the city population was 11,265. It is the second most populous city of Leavenworth County and is a part of the Kansas City metropolitan area."                                                                                            , Kansas is building more schools for Lansing due to its growing population.                                                                                                                                                                                                                                                                                             ,     1, 
 5409, The 1948 SMU Mustangs football team represented the SMU Mustangs of Southern Methodist University during the 1948 college football season. Doak Walker was a junior when he won the Heisman Trophy. Doak established several other Southwest Conference records that still stand.                                                                                                                                           , SMU Mustangs represented the University over 50 years ago.                                                                                                                                                                                                                                                                                                             ,     2, 
 5410, "A soda gun or bar gun is a device used by bars to serve various types of carbonated and non-carbonated drinks. A soda gun has the ability to serve any beverage that is some combination of syrup, water and carbon dioxide. This includes soft drinks, iced tea, carbonated water, and plain water. When served from a soda gun, these are often known as fountain drinks."                                               , It is called a soda gun in some countries while it is called a bar gun or some other countries.                                                                                                                                                                                                                                                                        ,     1, 
 5411, "Westfield Garden City, better known as Garden City, is one of Brisbane's major shopping centres, located in the suburb of Upper Mount Gravatt. The centre is operated by Westfield, and previously operated by AMP Limited before the takeover in 2003. The shopping centre currently has 440 specialty stores, cafes, restaurants and other services and food vendors."                                                   , Westfield Garden City is in Europe.                                                                                                                                                                                                                                                                                                                                    ,     0, 
 5412, "Mark Ingram Jr. (born December 21, 1989) is an American football running back for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Alabama, won the Heisman Trophy, and was a member of a national championship team. The New Orleans Saints chose him in the first round of the 2011 NFL Draft."                                                            , "Mark Ingram Jr. was born on December 21, 1989."                                                                                                                                                                                                                                                                                                                       ,     0, 
 5413, "Operation Paperclip was a secret program of the Joint Intelligence Objectives Agency (JIOA) in which more than 1,600 German scientists, engineers, and technicians, such as Wernher von Braun and his V-2 rocket team, were recruited in post-Nazi Germany and taken to the U.S. for government employment, at the end of World War II; many were members and some were leaders of the Nazi Party."                        , "After World War II, some American scientists were formerly Nazis."                                                                                                                                                                                                                                                                                                    ,     0, 
 5414, "Merimbula Merimbula is a town on the Merimbula Lake, located on the Far South Coast or Sapphire Coast of New South Wales, Australia. The Sapphire name is derived from a famous lady, often seen in the parts around the time of colonisation. Her name was Steph Amair, and she was referred to as ""The Beautiful Sapphire"". At the 2016 census , the population was 3,544."                                            , "Merimbula Merimbula had a population of 3,544 in 2016 according to the census."                                                                                                                                                                                                                                                                                       ,     0, 
 5415, """Cake Train"" is the first episode of the second season of the American sketch comedy series ""Kroll Show"". The episode was written by series creator Nick Kroll, along with Jon Daly, Ron Funches, Carol Kolb, Jonathan Krisel, John Levenstein, Gabe Liedman, Joe Mande, Christine Nangle and Joe Wengert. In the United States, the episode originally aired on Comedy Central on January 14, 2014."                  , """Cake Train"" is a Canadian sketch comedy."                                                                                                                                                                                                                                                                                                                          ,     2, 
 5416, "Howard Sings Ashman is a two-disc album compiled by PS Classics as part of their ""Songwriter Series"". The album features Howard Ashman singing selections from his musicals, including ""God Bless You, Mr. Rosewater"" (1979), ""Little Shop of Horrors"" (1982), ""Smile"" (1986), ""The Little Mermaid"" (1989), ""Beauty and the Beast"" (1991) and ""Aladdin"" (1992)."                                             , Howard Sings Ashman is a one disc album                                                                                                                                                                                                                                                                                                                                ,     2, 
 5417, "The Colusa Carnegie Library, at 260 Sixth St. in Colusa, California, is a Carnegie library built in 1906 that is listed on the National Register of Historic Places. It has also been known as the Carnegie Library Building and the City of Colusa Police Department."                                                                                                                                                    , The Colusa Carnegie Library charges fees for overdue books.                                                                                                                                                                                                                                                                                                            ,     1, 
 5418, "The 1998 Michigan gubernatorial election was held on November 3, 1998, to elect the Governor and Lieutenant Governor of the state of Michigan. Incumbent Governor John Engler, a member of the Republican Party, was re-elected over Democratic Party nominee Geoffrey Fieger, a lawyer who had represented the assisted suicide advocate Jack Kevorkian."                                                                 , Geoffrey Fieger became Lieutenant Governor of the state of Michigan                                                                                                                                                                                                                                                                                                    ,     1, 
 5419, "The Invisible Woman (Susan ""Sue"" Storm-Richards), previously known as the Invisible Girl, is a fictional superheroine appearing in American comic books published by Marvel Comics. The character is a founding member of the Fantastic Four and was the first female superhero created by Marvel during the Silver Age of Comics."                                                                                      , "Susan ""Sue"" Storm-Richards was married to a superhero."                                                                                                                                                                                                                                                                                                             ,     1, 
 5420, "Lisa Picard is Famous, also known as Famous, is a 2000 comedy-drama film directed by Griffin Dunne and written by Nat DeWolf & Laura Kirk. The film stars Kirk, DeWolf, Dunne, Daniel London, and a large number of famous actors in cameos as themselves."                                                                                                                                                                , Daniel London and Dunned have starred in several movies together.                                                                                                                                                                                                                                                                                                      ,     1, 
 5421, "Binani Industries Ltd is an Indian business group based in Mumbai. It is a 143-year old business conglomerate and belongs to the legendary Braj Binani Group. The business portfolio of Binani Industries includes sectors like cement, zinc, glass-fiber, and downstream composite products."                                                                                                                             , "Binani Industries makes most of its profit from cement, zinc, glass-fiber, and downstream composite products."                                                                                                                                                                                                                                                        ,     1, 
 5422, "Warren Ellis (born 14 February 1965) is an Australian-French musician and composer. He is a member of several groups: Dirty Three, Nick Cave and the Bad Seeds and Grinderman. He has also composed film scores with Nick Cave. Ellis plays violin, piano, bouzouki, guitar, flute, mandolin, tenor guitar, and viola. Ellis has been a member of Nick Cave and the Bad Seeds since 1994."                                 , He created very popular music                                                                                                                                                                                                                                                                                                                                          ,     1, 
 5423, "The Colusa Carnegie Library, at 260 Sixth St. in Colusa, California, is a Carnegie library built in 1906 that is listed on the National Register of Historic Places. It has also been known as the Carnegie Library Building and the City of Colusa Police Department."                                                                                                                                                    , The Colusa Carnegie Library has been renovated recently.                                                                                                                                                                                                                                                                                                               ,     1, 
 5424, "Ageratum ( ), (whiteweed in the USA), is a genus of 40 to 60 tropical and warm temperate flowering annuals and perennials from the family Asteraceae, tribe Eupatorieae. Most species are native to Central America and Mexico but four are native to the United States."                                                                                                                                                  , The majority of Ageratum species are not native to the United States.                                                                                                                                                                                                                                                                                                  ,     0, 
 5425, "Howard Sings Ashman is a two-disc album compiled by PS Classics as part of their ""Songwriter Series"". The album features Howard Ashman singing selections from his musicals, including ""God Bless You, Mr. Rosewater"" (1979), ""Little Shop of Horrors"" (1982), ""Smile"" (1986), ""The Little Mermaid"" (1989), ""Beauty and the Beast"" (1991) and ""Aladdin"" (1992)."                                             , Aladdin came out in 1985.                                                                                                                                                                                                                                                                                                                                              ,     2, 
 5426, "The 1984 North Dakota gubernatorial election took place on November 6, 1984 to elect the Governor and Lieutenant Governor of North Dakota. Voters selected Democratic candidate George A. Sinner and his running mate Ruth Meiers over Republican incumbent Governor Allen I. Olson and Lieutenant Governor Ernest Sands."                                                                                                 , The Democratic candidates lost the North Dakota gubernatorial election in 1984.                                                                                                                                                                                                                                                                                        ,     2, 
 5427, "Mark Ingram Jr. (born December 21, 1989) is an American football running back for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Alabama, won the Heisman Trophy, and was a member of a national championship team. The New Orleans Saints chose him in the first round of the 2011 NFL Draft."                                                            , Mark Ingram Jr. was a running back for the New Orleans Saints.                                                                                                                                                                                                                                                                                                         ,     0, 
 5428, "Paradise Lost is a 2011 Chinese teen sex comedy film and the sequel to the film ""Pubescence"" and the second film in the ""Pubescence"" film series. It was directed and written by Guan Xiaojie, starring Zhao Yihuan and Wang Yi. It was released in China on Singles Day."                                                                                                                                             , Paradise lost was filmed in China                                                                                                                                                                                                                                                                                                                                      ,     1, 
 5429, "Merimbula Merimbula is a town on the Merimbula Lake, located on the Far South Coast or Sapphire Coast of New South Wales, Australia. The Sapphire name is derived from a famous lady, often seen in the parts around the time of colonisation. Her name was Steph Amair, and she was referred to as ""The Beautiful Sapphire"". At the 2016 census , the population was 3,544."                                            , The Sapphire Coast is located in Australia.                                                                                                                                                                                                                                                                                                                            ,     0, 
 5430, "Dexter Alexander Nottage (born November 14, 1970) is a former American football defensive end in the National Football League (NFL) for the Washington Redskins and the Kansas City Chiefs. He played college football at Florida A&M University and was selected in the sixth round of the 1994 NFL Draft. He played high school football at Hollywood Hills High School."                                                , Dexter Arthur Nottage (born 11/14/70) is a former American football defensive end in the National Football League (NFL).                                                                                                                                                                                                                                               ,     2, 
 5431, "Cairo is an unincorporated community in Malheur County, Oregon, United States. Its elevation is 2192 ft above sea level. It is about 4 mi southwest of Ontario and a half mile north of Cairo Junction, where U.S. Route 20 and U.S. Route 26, running concurrently with Oregon Route 201, turn south towards Nyssa. Route 201 also continues north from Cairo Junction through Cairo and towards Ontario."                , Cairo is about 4 mi southwest of Ontario.                                                                                                                                                                                                                                                                                                                              ,     0, 
 5432, "Blackburn with Darwen is a unitary authority area in Lancashire, North West England. It consists of Blackburn, the small town of Darwen to the south of it, and the surrounding countryside. The population of the Unitary Authority taken at the 2011 census was 147,489."                                                                                                                                                , Darwen is to the north of Blackburn.                                                                                                                                                                                                                                                                                                                                   ,     2, 
 5433, "Warren Ellis (born 14 February 1965) is an Australian-French musician and composer. He is a member of several groups: Dirty Three, Nick Cave and the Bad Seeds and Grinderman. He has also composed film scores with Nick Cave. Ellis plays violin, piano, bouzouki, guitar, flute, mandolin, tenor guitar, and viola. Ellis has been a member of Nick Cave and the Bad Seeds since 1994."                                 , He was a very popular composer                                                                                                                                                                                                                                                                                                                                         ,     1, 
 5434, "Macarena Achaga Figueroa (] ; born 5 March 1992 in Mar del Plata, Argentina) known professionally as Macarena Achaga, is an Argentine model, actress, singer, and television hostess. In 2012, she debuted as an actress on the Mexican television series ""Miss XV"" and was a member of the Mexican-Argentine pop group, Eme 15, from 2011 to 2014."                                                                     , Macarena Achaga's first role was in Miss XV.                                                                                                                                                                                                                                                                                                                           ,     0, 
 5435, "Border effects refer to asymmetries in trade patterns between cities and regions of different countries that share a national border and those that are located in the same country. Usually, trade volume is much lesser between the former cities and regions. Economic integration (as in the EU) may be a solution to overcome these effects."                                                                         , Economic integration will overcome border effects.                                                                                                                                                                                                                                                                                                                     ,     1, 
 5436, "Togo ( ), officially the Togolese Republic (French: ""République togolaise"" ), is a country in West Africa bordered by Ghana to the west, Benin to the east and Burkina Faso to the north. It extends south to the Gulf of Guinea, where its capital Lomé is located. Togo covers 57,000 km2 , making it one of the smallest countries in Africa, with a population of approximately /1e6 round 1 million."               , "Togo ( ), officially the Togolese Republic (French: ""République togolaise"" ), is a small country in West Africa bordered by Ghana to the west."                                                                                                                                                                                                                     ,     1, 
 5437, "When I Was Born for the 7th Time is the third studio album by the British indie rock band Cornershop, released on 8 September 1997 by Wiiija. The album received high acclaim from music critics and features the international hit single ""Brimful of Asha""."                                                                                                                                                           , Cornershop finished recording their third studio album before September 8th 1997.                                                                                                                                                                                                                                                                                      ,     0, 
 5438, "Benjamin Clapp (born October 13, 1977) is an American musician from Boise, Idaho. He has performed, composed, and recorded music with numerous artists, most notably Jim Breuer, Jesse Blaze Snider and Baptized By Fire, Tom Marshall and Amfibian, Kronos Quartet, Erik Sanko and Skeleton Key, Dee Snider (Twisted Sister), David Peel (The Lower East Side), and White Trash."                                         , Benjamin Clapp was born after the Halloween of 1977.                                                                                                                                                                                                                                                                                                                   ,     2, 
 5439, "Little Jost Van Dyke (colloquially, ""Little Jost"") is one of the British Virgin Islands. It is a small island on the east end of the island of Jost Van Dyke. Like Jost Van Dyke, it takes its name from the Dutch privateer Joost van Dyk. It is the location of the Diamond Cay National Park, which includes the nesting grounds of wild boobies, terns and pelicans."                                                , Little Jost Van Dyk is a small island next to the east of Jost Van Dyk not named for Joost Van Dyk                                                                                                                                                                                                                                                                     ,     2, 
 5440, "New London is a census-designated place (CDP) and the primary village in the town of New London in Merrimack County, New Hampshire, United States. The population of the CDP was 1,403 at the 2010 census, out of 4,397 in the entire town of New London. The CDP includes the campus of Colby–Sawyer College."                                                                                                            , New London is the largest village in New Hampshire.                                                                                                                                                                                                                                                                                                                    ,     1, 
 5441, """Cake Train"" is the first episode of the second season of the American sketch comedy series ""Kroll Show"". The episode was written by series creator Nick Kroll, along with Jon Daly, Ron Funches, Carol Kolb, Jonathan Krisel, John Levenstein, Gabe Liedman, Joe Mande, Christine Nangle and Joe Wengert. In the United States, the episode originally aired on Comedy Central on January 14, 2014."                  , "The ""Cake Train"" episode aired on Fox."                                                                                                                                                                                                                                                                                                                             ,     2, 
